question,options,answer,explanation
航空法における「無人航空機」の定義として正しい重量基準はどれか。,200g以上|100g以上|100g未満,100g以上,航空法の改正により無人航空機の登録義務化等の対象となる重量は100g以上と定義されています。
無人航空機の機体登録の有効期間は何年か。,1年|3年|5年,3年,機体登録の有効期間は3年であり更新が必要です。
機体登録記号の表示について、25kg未満の機体に求められる文字の高さはどれか。,3mm以上|10mm以上|25mm以上,3mm以上,25kg未満の機体は3mm以上、25kg以上の機体は25mm以上の高さで表示する必要があります。
リモートID機能から発信される情報に含まれないものはどれか。,機体の製造番号|機体の位置情報|所有者の氏名,所有者の氏名,リモートIDは登録記号や位置情報などを発信しますが、所有者の氏名などの個人情報は含まれません。
アルコールを摂取した状態での操縦について正しい記述はどれか。,少量であれば認められる|体内にアルコールを保有する状態では禁止|呼気中濃度が基準値以下なら可,体内にアルコールを保有する状態では禁止,航空法ではアルコールの影響により正常な操縦ができないおそれがある状態での飛行を禁止しており、量に関わらず禁止されています。
特定飛行を行う場合の飛行日誌の携行について正しい記述はどれか。,特定飛行を行う場合は必ず携行が必要|業務目的の場合のみ必要|個人の趣味であれば不要,特定飛行を行う場合は必ず携行が必要,特定飛行を行う場合、目的（業務・趣味）に関わらず飛行日誌の作成・携行が義務付けられています。
飛行禁止空域となる「高さ150m以上」の基準はどこからの高さか。,海抜（平均海面）|離陸地点|地表または水面,地表または水面,航空法の高さ制限は、機体直下の地表または水面からの高さ（対地高度）が基準となります。
飛行中に有人航空機の接近を確認した場合の対応として適切なものはどれか。,有人機が回避するのを待つ|無人航空機を降下または着陸させる|そのままの高度で飛行を続ける,無人航空機を降下または着陸させる,無人航空機は有人航空機の航行を妨げてはならず、回避義務があります。
DID地区の正式名称として正しいものはどれか。,人口集中地区|飛行禁止地区|重要施設周辺地区,人口集中地区,DIDはDensely Inhabited Districtの略で、国勢調査の結果に基づき設定される人口集中地区を指します。
航空法における「夜間」の定義として正しいものはどれか。,午後6時から午前6時まで|日没から日出まで|周囲が暗くなってから明るくなるまで,日没から日出まで,国立天文台が発表する日の入り（日没）から日の出（日出）までが夜間と定義されます。
第三者や物件から確保すべき「30m」の距離基準に含まれる対象はどれか。,操縦者本人|補助者|第三者の管理する電柱,第三者の管理する電柱,30mルールの対象となる「物件」には、第三者が管理する建物や工作物（電柱等）が含まれます。
特定飛行において「催し場所上空」に該当する例はどれか。,自然発生的な信号待ちの人混み|プロ野球の試合|混雑した駅前の歩道,プロ野球の試合,特定の日時・場所に多数の人が集まるイベントやお祭り等が「催し」に該当します。
航空法において「物件投下」に該当する行為はどれか。,農薬（液体）の散布|荷物を地面に置く|着陸して荷物を降ろす,農薬（液体）の散布,水や農薬などの液体を霧状に散布する行為も「物件投下」に含まれ、承認が必要です。
カテゴリーⅡB飛行が認められる条件の組み合わせとして正しいものはどれか。,二等資格＋一種機体認証＋立入管理なし|二等資格＋二種機体認証＋立入管理あり|資格なし＋機体認証なし＋立入管理あり,二等資格＋二種機体認証＋立入管理あり,カテゴリーⅡB（許可承認の一部免除）を行うには、二等以上の技能証明と二種以上の機体認証を持ち、立入管理措置を講じる必要があります。
事故発生時に操縦者が最優先で行うべき措置はどれか。,国土交通省への報告|負傷者の救護|飛行日誌への記録,負傷者の救護,事故発生時は直ちに飛行を中止し、負傷者の救護や危険防止措置を最優先で行わなければなりません。
国土交通大臣への事故報告の期限として正しいものはどれか。,3日以内|1週間以内|速やかに（遅滞なく）,速やかに（遅滞なく）,事故等の報告は、事態が発生した後「遅滞なく」行う必要があります。
小型無人機等飛行禁止法において飛行が禁止される範囲は対象施設の周囲何mか。,100m|300m|500m,300m,重要施設の敷地およびその周囲おおむね300mの地域が対象となります。
小型無人機等飛行禁止法の対象施設周辺で飛行させる際の通報期限はいつか。,飛行の24時間前まで|飛行の48時間前まで|飛行の1週間前まで,飛行の48時間前まで,飛行を開始する48時間前までに管轄の警察署等へ通報書を提出する必要があります。
5.7GHz帯の電波を使用する無人航空機に必要な資格はどれか。,無線従事者免許（三陸特以上）|アマチュア無線技士|資格不要,無線従事者免許（三陸特以上）,5.7GHz帯（産業用）を使用するには、第三級陸上特殊無線技士以上の資格と無線局の開局が必要です。
飛行中の航空機に作用する4つの力に含まれないものはどれか。,揚力|遠心力|抗力,遠心力,航空機に作用する4つの力は、揚力、重力、推力、抗力です。
マルチローター（ドローン）が前後左右に移動する主な原理はどれか。,重心移動|プロペラのピッチ変更|各モーターの回転数変化,各モーターの回転数変化,一般的なマルチローターは固定ピッチであり、各モーターの回転数を変えることで姿勢制御や移動を行います。
飛行機（固定翼機）やプロペラが失速する主な原因はどれか。,速度が速すぎる|迎え角が大きすぎる|高度が高すぎる,迎え角が大きすぎる,翼やプロペラが空気を切り裂く角度（迎え角）が限界を超えると、気流が剥離して揚力を失う失速が起きます。
機体がどの方角を向いているかを検知するセンサはどれか。,気圧センサ|GNSS|地磁気センサ（コンパス）,地磁気センサ（コンパス）,方位の特定には地磁気センサ（電子コンパス）が使用されます。
機体の傾きや角速度を検知し姿勢を安定させるセンサはどれか。,IMU（慣性計測装置）|LiDAR|超音波センサ,IMU（慣性計測装置）,ジャイロセンサと加速度センサを含むIMUが姿勢制御の中核を担います。
GNSS（衛星測位システム）で3次元の位置を特定するために最低限必要な衛星数はいくつか。,3つ|4つ|6つ,4つ,緯度・経度・高度の特定に加え、時刻誤差の補正を行うために最低4つの衛星が必要です。
ビル等の反射波によりGNSSの測位精度が低下する現象を何と呼ぶか。,フェードアウト|マルチパス|ドップラー効果,マルチパス,反射した電波（マルチパス）を受信することで位置情報に誤差が生じます。
リチウムポリマーバッテリーの長期保管に適した電圧（充電量）の目安はどれか。,満充電（100%）|保管電圧（60%程度）|完全放電（0%）,保管電圧（60%程度）,満充電や過放電状態での保管は劣化を早めるため、定格の50〜60%程度（ストレージ電圧）で保管します。
リチウムポリマーバッテリーが膨らんでいる場合の対応として適切なものはどれか。,ガス抜きをして使用する|そのまま使用する|直ちに使用を中止する,直ちに使用を中止する,膨らみは内部でガスが発生している危険な状態であり、発火のリスクがあるため使用してはいけません。
冬季などの低温時にバッテリーを使用する際の注意点はどれか。,冷やして使用する|保温・予熱してから使用する|満充電にしない,保温・予熱してから使用する,低温下では化学反応が鈍り電圧が低下しやすいため、使用前に20度〜30度程度に温めることが推奨されます。
モーターの回転数を制御する装置の名称はどれか。,IMU|ESC|GPS,ESC,ESC（Electronic Speed Controller）がフライトコントローラーからの信号を基にモーターの回転を制御します。
夜間飛行を行う際に機体に装備しなければならないものはどれか。,灯火|スピーカー|赤外線カメラ,灯火,機体の位置および方向を視認できる灯火の装備が義務付けられています。
目視外飛行に該当しない（目視内と認められる）飛行方法はどれか。,双眼鏡を使用した監視|モニターを見ながらの操縦|眼鏡を使用した直接監視,眼鏡を使用した直接監視,眼鏡やコンタクトレンズによる矯正は目視に含まれますが、双眼鏡やモニター越しの監視は目視外となります。
一般的に飛行中止を検討すべき地上の風速の目安はどれか。,3m/s以上|5m/s以上|10m/s以上,5m/s以上,多くの機体や許可基準において、風速5m/s以上での飛行は中止すべき目安とされています。
離陸直後の地面付近で揚力が増加し機体が不安定になる現象を何と呼ぶか。,ダウンバースト|地面効果（グラウンド・エフェクト）|フレネルゾーン,地面効果（グラウンド・エフェクト）,地面とローターの間で空気が圧縮され揚力が増す現象です。
