question,category,options,answer,explanation
航空法における「無人航空機」の定義として正しい重量基準はどれか。,規則,a.200g以上|b.100g以上|c.100g未満,b,航空法の改正により無人航空機の登録義務化等の対象となる重量は100g以上と定義されています。
無人航空機の機体登録の有効期間は何年か。,規則,a.1年|b.3年|c.5年,b,機体登録の有効期間は3年であり更新が必要です。
機体登録記号の表示について、25kg未満の機体に求められる文字の高さはどれか。,規則,a.3mm以上|b.10mm以上|c.25mm以上,a,25kg未満の機体は3mm以上、25kg以上の機体は25mm以上の高さで表示する必要があります。
リモートID機能から発信される情報に含まれないものはどれか。,規則,a.機体の製造番号|b.機体の位置情報|c.所有者の氏名,c,リモートIDは登録記号や位置情報などを発信しますが、所有者の氏名などの個人情報は含まれません。
アルコールを摂取した状態での操縦について正しい記述はどれか。,規則,a.少量であれば認められる|b.体内にアルコールを保有する状態では禁止|c.呼気中濃度が基準値以下なら可,b,航空法ではアルコールの影響により正常な操縦ができないおそれがある状態での飛行を禁止しており、量に関わらず禁止されています。
特定飛行を行う場合の飛行日誌の携行について正しい記述はどれか。,運航,a.特定飛行を行う場合は必ず携行が必要|b.業務目的の場合のみ必要|c.個人の趣味であれば不要,a,特定飛行を行う場合、目的（業務・趣味）に関わらず飛行日誌の作成・携行が義務付けられています。
飛行禁止空域となる「高さ150m以上」の基準はどこからの高さか。,規則,a.海抜（平均海面）|b.離陸地点|c.地表または水面,c,航空法の高さ制限は、機体直下の地表または水面からの高さ（対地高度）が基準となります。
飛行中に有人航空機の接近を確認した場合の対応として適切なものはどれか。,リスク,a.有人機が回避するのを待つ|b.無人航空機を降下または着陸させる|c.そのままの高度で飛行を続ける,b,無人航空機は有人航空機の航行を妨げてはならず、回避義務があります。
DID地区の正式名称として正しいものはどれか。,規則,a.人口集中地区|b.飛行禁止地区|c.重要施設周辺地区,a,DIDはDensely Inhabited Districtの略で、国勢調査の結果に基づき設定される人口集中地区を指します。
航空法における「夜間」の定義として正しいものはどれか。,規則,a.午後6時から午前6時まで|b.日没から日出まで|c.周囲が暗くなってから明るくなるまで,b,国立天文台が発表する日の入り（日没）から日の出（日出）までが夜間と定義されます。
第三者や物件から確保すべき「30m」の距離基準に含まれる対象はどれか。,規則,a.操縦者本人|b.補助者|c.第三者の管理する電柱,c,30mルールの対象となる「物件」には、第三者が管理する建物や工作物（電柱等）が含まれます。
特定飛行において「催し場所上空」に該当する例はどれか。,規則,a.自然発生的な信号待ちの人混み|b.プロ野球の試合|c.混雑した駅前の歩道,b,特定の日時・場所に多数の人が集まるイベントやお祭り等が「催し」に該当します。
航空法において「物件投下」に該当する行為はどれか。,規則,a.農薬（液体）の散布|b.荷物を地面に置く|c.着陸して荷物を降ろす,a,水や農薬などの液体を霧状に散布する行為も「物件投下」に含まれ、承認が必要です。
カテゴリーⅡB飛行が認められる条件の組み合わせとして正しいものはどれか。,規則,a.二等資格＋一種機体認証＋立入管理なし|b.二等資格＋二種機体認証＋立入管理あり|c.資格なし＋機体認証なし＋立入管理あり,b,カテゴリーⅡB（許可承認の一部免除）を行うには、二等以上の技能証明と二種以上の機体認証を持ち、立入管理措置を講じる必要があります。
事故発生時に操縦者が最優先で行うべき措置はどれか。,リスク,a.国土交通省への報告|b.負傷者の救護|c.飛行日誌への記録,b,事故発生時は直ちに飛行を中止し、負傷者の救護や危険防止措置を最優先で行わなければなりません。
国土交通大臣への事故報告の期限として正しいものはどれか。,規則,a.3日以内|b.1週間以内|c.速やかに（遅滞なく）,c,事故等の報告は、事態が発生した後「遅滞なく」行う必要があります。
小型無人機等飛行禁止法において飛行が禁止される範囲は対象施設の周囲何mか。,規則,a.100m|b.300m|c.500m,b,重要施設の敷地およびその周囲おおむね300mの地域が対象となります。
小型無人機等飛行禁止法の対象施設周辺で飛行させる際の通報期限はいつか。,規則,a.飛行の24時間前まで|b.飛行の48時間前まで|c.飛行の1週間前まで,b,飛行を開始する48時間前までに管轄の警察署等へ通報書を提出する必要があります。
5.7GHz帯の電波を使用する無人航空機に必要な資格はどれか。,規則,a.無線従事者免許（三陸特以上）|b.アマチュア無線技士|c.資格不要,a,5.7GHz帯（産業用）を使用するには、第三級陸上特殊無線技士以上の資格と無線局の開局が必要です。
飛行中の航空機に作用する4つの力に含まれないものはどれか。,システム,a.揚力|b.遠心力|c.抗力,b,航空機に作用する4つの力は、揚力、重力、推力、抗力です。
マルチローター（ドローン）が前後左右に移動する主な原理はどれか。,システム,a.重心移動|b.プロペラのピッチ変更|c.各モーターの回転数変化,c,一般的なマルチローターは固定ピッチであり、各モーターの回転数を変えることで姿勢制御や移動を行います。
